date,capital,ret,n_hold,phase
2012-01-19 16:00:00,1078310.8808290155,0.08031088082901561,1,样本内
2012-02-02 16:00:00,1120114.1750723773,0.04076738609112707,1,样本内
2012-02-09 16:00:00,1115293.0384847387,-0.0023041474654377225,1,样本内
2012-02-16 16:00:00,1141395.5319073815,0.025404157043879882,1,样本内
2012-02-23 16:00:00,1126259.1875563213,-0.011261261261261368,1,样本内
2012-03-01 16:00:00,1165054.840026086,0.036446469248291535,1,样本内
2012-03-11 16:00:00,1083347.367618982,-0.068131868131868,1,样本内
2012-03-18 16:00:00,1053074.9628747609,-0.025943396226415172,1,样本内
2012-03-25 16:00:00,979148.9304930653,-0.0682001614205004,2,样本内
2012-04-04 16:00:00,1038462.4108739337,0.06257656658114319,2,样本内
2012-04-11 16:00:00,1049951.8383177305,0.013063883799248721,2,样本内
2012-04-18 16:00:00,1152267.4251605729,0.09944788580662528,2,样本内
2012-04-25 16:00:00,1083832.7598227754,-0.05739130434782608,2,样本内
2012-05-06 16:00:00,1061680.2177939988,-0.018439077734095293,3,样本内
2012-05-13 16:00:00,1063736.325473664,0.003936654413640402,3,样本内
2012-05-20 16:00:00,1039335.8353805066,-0.020938475925688132,3,样本内
2012-05-27 16:00:00,1001278.1841173016,-0.034617279966366064,3,样本内
2012-06-03 16:00:00,1001175.7517856586,0.0018976984286006582,3,样本内
2012-06-10 16:00:00,1038697.5315627463,0.03947771528641719,3,样本内
2012-06-17 16:00:00,962969.638248351,-0.0709065883120572,3,样本内
2012-06-25 16:00:00,951103.8649183426,-0.010322063810435841,3,样本内
2012-07-02 16:00:00,872259.4356978899,-0.08089781182544326,4,样本内
2012-07-09 16:00:00,879708.2526549901,0.010539680572375282,4,样本内
2012-07-16 16:00:00,885504.7113259985,0.008589069334651173,4,样本内
2012-07-23 16:00:00,822891.6608528038,-0.06870888463081667,4,样本内
2012-07-30 16:00:00,844919.6242650726,0.02876897149430363,4,样本内
2012-08-06 16:00:00,878792.7062574604,0.04209030092282598,4,样本内
2012-08-13 16:00:00,892977.0243262902,0.018140687067416644,4,样本内
2012-08-20 16:00:00,883885.5465185578,-0.008181088157997701,4,样本内
2012-08-27 16:00:00,893162.1894135671,0.012495298776575792,4,样本内
2012-09-03 16:00:00,922466.0977584725,0.034809168023722276,4,样本内
2012-09-10 16:00:00,872189.8475589063,-0.052502003186603835,4,样本内
2012-09-17 16:00:00,859730.3482327389,-0.012285306531644613,4,样本内
2012-09-24 16:00:00,903543.8882392431,0.05296195579994034,4,样本内
2012-10-08 16:00:00,900761.3943089076,-0.0010795337853015397,4,样本内
2012-10-15 16:00:00,925230.2203643445,0.029164603423318558,4,样本内
2012-10-22 16:00:00,875448.3270115952,-0.051804871757372806,4,样本内
2012-10-29 16:00:00,888171.526925306,0.016533353392932104,4,样本内
