month,capital,ret,phase
2012-01,1083288.0299251871,0.08478802992518708,样本内
2012-02,964618.1843021758,-0.10804597701149421,样本内
2012-03,1106147.1481827458,0.14822019062439207,样本内
2012-04,1071163.609771152,-0.030126477968204557,样本内
2012-05,1000154.1327148803,-0.06479190574485875,样本内
2012-06,865833.7295276511,-0.13279970320936596,样本内
2012-07,928506.9815339181,0.07388485851141186,样本内
2012-08,931935.8795650662,0.005192915723135988,样本内
2012-09,951016.7736285967,0.0219744709179302,样本内
2012-10,874120.7440720374,-0.07935664910321524,样本内
2012-11,987071.981071397,0.13071697347346245,样本内
2012-12,1023405.0997748765,0.0383089859708535,样本内
2013-01,1128744.1477506733,0.10442996194661214,样本内
2013-02,1117848.3518963738,-0.008153025334405827,样本内
2013-03,1076808.5256407626,-0.03521323233244398,样本内
2013-04,1252493.7045093244,0.16465359201304525,样本内
2013-05,987416.4742339762,-0.21013957097827865,样本内
2013-06,1125024.9834661668,0.14086217677444082,样本内
2013-07,1251641.2076319105,0.11404525546236577,样本内
2013-08,1238111.386848026,-0.009309663904788601,样本内
2013-09,1150077.4187887015,-0.069603431399206,样本内
2013-10,1308573.519377529,0.13931341847035017,样本内
2013-11,1293490.838936678,-0.010026047423018186,样本内
2013-12,1311481.2013509981,0.015408380231830074,样本内
2014-01,1408205.969713105,0.0752523101836821,样本内
2014-02,1423337.4483775499,0.01224521695681191,样本内
2014-03,1515240.602220883,0.06606877386883395,样本内
2014-04,1493341.5624753095,-0.012952516460736429,样本内
2014-05,1636820.0767157038,0.09757883276386524,样本内
2014-06,1662071.5870413668,0.016927175341306056,样本内
2014-07,1806113.9159809535,0.08816433507596055,样本内
2014-08,2245020.8053544313,0.24451174222174932,样本内
2014-09,2169413.965860754,-0.032177567403096394,样本内
2014-10,2127256.9613057054,-0.017932438998945033,样本内
2014-11,1871482.653619034,-0.11873667678101188,样本内
2014-12,2103821.307943884,0.12564683827047934,样本内
2015-01,2199004.1478568255,0.046742834813744916,样本内
2015-02,2946925.5781920804,0.3416182444626982,样本内
2015-03,3987241.2525612586,0.35451728759889667,样本内
2015-04,4918000.4167692205,0.23493437360608072,样本内
2015-05,4218255.95149824,-0.14078231109639955,样本内
2015-06,3496473.638292172,-0.16960917912643636,样本内
2015-07,2992717.705886709,-0.1425754269926426,样本内
2015-08,2771936.3456040053,-0.07227286532853545,样本内
2015-09,3444103.2523024683,0.24399002245828927,样本内
2015-10,3950882.276249542,0.1486439695102868,样本内
2015-11,4364313.228640053,0.1061426907923386,样本内
2015-12,2962703.3096630173,-0.31965245756863025,样本内
2016-01,3185267.873309495,0.07662212340688018,样本内
2016-02,3690839.7100429623,0.16022192130835713,样本内
2016-03,3848312.2230791245,0.04416576860752622,样本内
2016-04,3563984.85676058,-0.07238365336195293,样本内
2016-05,3635118.6422629654,0.021459059412794707,样本内
2016-06,3645791.7011113456,0.004436096424554771,样本内
2016-07,3981794.0163287106,0.09366168743676212,样本内
2016-08,4117640.329150683,0.03561686095887617,样本内
2016-09,4365137.784007126,0.06160662298605708,样本内
2016-10,4355294.651219238,-0.0007549420602373434,样本内
2016-11,4114900.180376906,-0.053695914419942856,样本内
2016-12,3885383.3601656514,-0.05427700798327321,样本内
2017-01,3905257.21972216,0.006615031829358956,样本内
2017-02,3838130.6974600386,-0.015688758252112696,样本内
2017-03,3466589.875617777,-0.09530254559547346,样本内
2017-04,3101593.7560268496,-0.10378967448907765,样本内
2017-05,3384636.9328867313,0.09275733384969836,样本内
2017-06,3471162.4122605175,0.027064183423357323,样本内
2017-07,3467723.12461506,0.0005091827356422662,样本内
2017-08,3548283.8667824557,0.02473159585479838,样本内
2017-09,3413294.5019192826,-0.036543564137268496,样本内
2017-10,3291017.0943558672,-0.0343238667934043,样本内
2017-11,3220723.7530925306,-0.01985915409977383,样本内
2017-12,2800135.671019643,-0.12908806476930546,样本内
2018-01,2828725.634907173,0.011710206663707489,样本内
2018-02,2885638.9096085937,0.02161975781570925,样本内
2018-03,2809575.692094507,-0.024859229237175724,样本内
2018-04,2761118.3728298284,-0.015747201917722504,样本内
2018-05,2369346.0148921525,-0.14038901200065335,样本内
2018-06,2494889.8058673926,0.0544866850118785,样本内
2018-07,2313912.9183190693,-0.07103903043040563,样本内
2018-08,2256383.9933658782,-0.023362182365524214,样本内
2018-09,2069261.0101312255,-0.08143046918646106,样本内
2018-10,2136984.984478416,0.03422857992085579,样本内
2018-11,1980424.6607579305,-0.07176224791359395,样本内
2018-12,1979508.6303321165,0.0010374575746478875,样本内
2019-01,2328618.2623569616,0.17786176305342632,样本内
2019-02,2820591.9362278013,0.21277278859905452,样本内
2019-03,2622737.557676054,-0.0686464029626184,样本内
2019-04,2600553.038205044,-0.006958535779183145,样本内
2019-05,2680972.0524924225,0.03242381239910625,样本内
2019-06,2427013.2549723517,-0.09322638749962822,样本内
2019-07,2336150.118247227,-0.03593825318587302,样本内
2019-08,2361345.3677445655,0.012284944554951183,样本内
2019-09,2292550.4861366507,-0.02763376524570991,样本内
2019-10,2183928.5463932366,-0.045880391577095045,样本内
2019-11,2433419.194051223,0.11573938208510566,样本内
2019-12,2368218.6584287016,-0.025293795241654825,样本内
2020-01,2170569.2007495323,-0.08195912526941602,样本内
2020-02,2121723.1740367496,-0.021003786884986532,样本内
2020-03,2192831.090308781,0.035014228973020374,样本内
2020-04,2459269.9818984955,0.12300452114950482,样本内
2020-05,2513293.168802184,0.02346716395569707,样本内
2020-06,2914905.6132400795,0.1612953033984096,样本内
2020-07,3079470.5814377526,0.05795636258346992,样本内
2020-08,2791931.9836689746,-0.0918727373471226,样本内
2020-09,2678797.9409624524,-0.03902177609206975,样本外
2020-10,2873866.5843828837,0.0743194689258072,样本外
2020-11,2616668.4272421957,-0.08799551052173063,样本外
2020-12,2331077.718879693,-0.10764287243626702,样本外
2021-01,2460964.543825699,0.05721964585051623,样本外
2021-02,2578105.34180171,0.0490995472059543,样本外
2021-03,2495828.65102226,-0.03041362643155266,样本外
2021-04,2632777.6356234923,0.056371148524214466,样本外
2021-05,2631616.710606422,0.001059049347213109,样本外
2021-06,2492605.33503887,-0.051323564695908264,样本外
2021-07,2701333.2648841846,0.08523886026447881,样本外
2021-08,2703199.1316073122,0.0021907206701900104,样本外
2021-09,2675076.4009216647,-0.008903499452489787,样本外
2021-10,2868388.2169763865,0.07376403551992713,样本外
2021-11,3057306.0232851175,0.06736200751719448,样本外
2021-12,2831871.2254928728,-0.07223641895030575,样本外
2022-01,2967843.1632844326,0.04951487319321686,样本外
2022-02,2873090.6367463977,-0.030426392779184092,样本外
2022-03,2487266.7398214824,-0.1327888010528752,样本外
2022-04,2817142.7412963314,0.13412590465006785,样本外
2022-05,2978899.3578994293,0.05891867965435944,样本外
2022-06,2968431.4527646857,-0.0020140177216746045,样本外
2022-07,2938034.1223542155,-0.008740199544496646,样本外
2022-08,2669009.267860657,-0.09006627979459667,样本外
2022-09,2766345.446510786,0.03796902984647517,样本外
2022-10,3160043.467173174,0.14381701292366147,样本外
2022-11,2949622.5482381308,-0.06508798245053125,样本外
2022-12,3236922.835387466,0.09890239045872017,样本外
2023-01,3322296.973460283,0.027875092152172827,样本外
2023-02,3250297.731332659,-0.020171525063165725,样本外
2023-03,3106551.759156798,-0.042725478420071746,样本外
2023-04,2997164.0622828356,-0.033711934438733875,样本外
2023-05,2981113.050456334,-0.003855399802263845,样本外
2023-06,3189817.266264729,0.07150882297182534,样本外
2023-07,2985814.0881842216,-0.062454503048820456,样本外
2023-08,3038584.4243742004,0.019173684506616617,样本外
2023-09,2922987.3373775445,-0.036543072316630856,样本外
2023-10,3045796.515246772,0.04351495377650549,样本外
2023-11,2972749.2101028753,-0.022482989270042757,样本外
2023-12,2523383.33213613,-0.1496617180620475,样本外
2024-01,2726601.600526978,0.0820340456215255,样本外
2024-02,2769261.299594169,0.017145739758586735,样本外
2024-03,2673580.1009807615,-0.033051163022221795,样本外
2024-04,2601098.630149905,-0.02561026716733401,样本外
2024-05,2283504.964348407,-0.12059981663909251,样本外
2024-06,2518834.395442112,0.10455623800597051,样本外
2024-07,2455008.131890434,-0.023839602979526302,样本外
2024-08,3007700.6617862633,0.2266285943685405,样本外
2024-09,3597128.2942566136,0.19747283731030993,样本外
2024-10,3973032.3040556773,0.10600114064579073,样本外
2024-11,3925802.2604696774,-0.010387656573491116,样本外
2024-12,3792596.2347893603,-0.032430905542955385,样本外
2025-01,4224207.987132382,0.11530377072145481,样本外
2025-02,4300078.571988511,0.019460901803898596,样本外
2025-03,4039133.1434344086,-0.05918387453521162,样本外
2025-04,4373873.5017948365,0.08437430655870974,样本外
2025-05,4483852.201894245,0.026644462923831453,样本外
2025-06,4617149.42582829,0.031228282274275727,样本外
2025-07,4816323.841205198,0.044637961761152575,样本外
2025-08,4697122.832466006,-0.02324937580388371,样本外
2025-09,4789908.100963662,0.02125363894176554,样本外
2025-10,4849091.186892295,0.013855787351478955,样本外
2025-11,4766173.67228536,-0.015599598958062833,样本外
2025-12,5083671.061967334,0.06811473364434395,样本外
2026-01,5128899.239855863,0.010396755383505684,样本外
2026-02,4696819.653437165,-0.08274411676117106,样本外
2026-03,4719333.222852877,0.006293364675868935,样本外
2026-04,4486574.57175995,-0.04782024082677992,样本外
